basin,cnty_abbr,name,prelim_yn,county_name,site,state,latitude,longitude,aqs_id,qa_id,district,met_id,elevation,address,city,zip_code,pm25hourly2016obs 
SFB,SF,San Francisco-Arkansas Street,N,San Francisco,2373,CA,37.765949999999997,-122.39901999999999,060750005,90306,BA,SFO02,5,10 Arkansas Street,San Francisco,94107,8386 
SFB,SM,Redwood City,N,San Mateo,2125,CA,37.482930000000003,-122.20348,060811001,41541,BA,RWD01,4,897 Barron Avenue,Redwood City                    ,94063,8442 
SFB,SCL,Gilroy-9th Street,N,Santa Clara,2320,CA,36.999580000000002,-121.57465999999999,060850002,43389,BA,GIL01,63,9th and Princeville,Gilroy,95020,8407 
SFB,SCL,San Jose-Jackson Street,N,Santa Clara,3661,CA,37.348488000000003,-121.894936,060850005,43383,BA,,27,156B Jackson Street,San Jose                        ,95112,8536 
SFB,SCL,San Jose-Knox Avenue                    ,N,Santa Clara,3810,CA,37.338202000000003,-121.849892,060850006,43385,BA,,31,1007 Knox Avenue                                            ,San Jose                        ,95122,8617 
SFB,SOL,Vallejo-304 Tuolumne Street,N,Solano,2410,CA,38.102510000000002,-122.238,060950004,48879,BA,VAL01,6,304 Tuolumne Street,Vallejo,94590,16528 
SFB,SON,Sebastopol-103 Morris Street            ,N,Sonoma,3804,CA,38.403765,-122.81829399999999,060970004,49891,BA,,23,103 Morris Street                                           ,Sebastopol                      ,95472,8598 
SJV,FRE,Clovis-N Villa Avenue,N,Fresno,3026,CA,36.819313000000001,-119.71638900000001,060195001,10248,SJV,CLV01,113,908 North Villa Ave,Clovis                          ,93612,8174 
SJV,FRE,Fresno-Garland                          ,N,Fresno,3781,CA,36.785380000000004,-119.77321000000001,060190011,10251,SJV,,97,3727 N First Street Suite 104                               ,Fresno                          ,93726,16891 
SJV,FRE,Huron-16875 4th Street,N,Fresno,3768,CA,36.198650000000001,-120.10117,060192008,10247,SJV,,118,16875 4th Street,Huron,93234,8491 
SJV,FRE,Tranquility-32650 West Adams Avenue,N,Fresno,3759,CA,36.634239999999998,-120.38234,060192009,10242,SJV,,63,32650 West Adams Avenue,Tranquility,93668,8268 
SJV,KER,Bakersfield-5558 California Avenue,N,Kern,3146,CA,35.356614999999998,-119.062613,060290014,15255,SJV,BFL06,119,5558 California Avenue,Bakersfield,93309,8605 
SJV,KER,Lebec-Beartrap Road,N,Kern,3769,CA,34.841551000000003,-118.86058199999999,060292009,10240,SJV,,1069,Beartrap Road,Lebec,91350,8056 
SJV,KIN,Hanford-S Irwin Street,N,Kings,3129,CA,36.315719999999999,-119.64323,060311004,16716,SJV,HAN04,82,807 South Irwin Street,Hanford                         ,93230,8639 
SJV,MAD,Madera-28261 Avenue 14,N,Madera,3771,CA,36.95326,-120.03419,060392010,10241,SJV,,88,28261 Avenue 14                                             ,Madera                          ,93638,8642 
SJV,MER,Merced-S Coffee Avenue,N,Merced,3022,CA,37.281770000000002,-120.43368,060470003,24528,SJV,MER08,56,385 South Coffee Avenue,Merced                          ,95340,8572 
SJV,SJ,Manteca-530 Fishback Rd,N,San Joaquin,3772,CA,37.793379999999999,-121.247789,060772010,24531,SJV,,11,530 Fishback Road                                           ,Manteca                         ,95337,8563 
